"SubscriptionType","MonthlyRevenue","JoinDate","LastPaymentDate","Country","Age","Gender","Device"
"Basic",13,"21-08-22","04-07-23","Brazil",47,"Female","Laptop"
"Standard",13,"15-08-22","01-07-23","Mexico",43,"Male","Smart TV"
"Premium",14,"14-08-22","03-07-23","Spain",39,"Male","Tablet"
"Basic",11,"09-08-22","03-07-23","Italy",46,"Male","Smart TV"
"Premium",12,"04-08-22","04-07-23","Spain",46,"Female","Smartphone"
"Basic",11,"27-07-22","01-07-23","Spain",40,"Female","Tablet"
"Standard",12,"11-07-22","02-07-23","United States",38,"Male","Smartphone"
"Standard",13,"09-07-22","03-07-23","Canada",48,"Female","Tablet"
"Basic",15,"01-07-22","03-07-23","United States",38,"Male","Tablet"
"Premium",12,"30-06-22","01-07-23","United States",43,"Male","Laptop"
"Basic",11,"29-06-22","02-07-23","Canada",29,"Male","Smartphone"
"Standard",15,"29-06-22","03-07-23","United Kingdom",32,"Female","Laptop"
"Premium",10,"30-06-22","03-07-23","Australia",32,"Female","Laptop"
"Basic",10,"30-06-22","30-06-23","Germany",49,"Female","Laptop"
"Premium",14,"26-06-22","02-07-23","France",51,"Female","Laptop"
"Basic",14,"27-06-22","03-07-23","Brazil",32,"Male","Smart TV"
"Standard",12,"25-06-22","02-07-23","Mexico",35,"Female","Smart TV"
"Standard",15,"25-06-22","01-07-23","Spain",41,"Male","Laptop"
"Basic",12,"20-06-22","03-07-23","Italy",43,"Female","Smart TV"
"Premium",12,"21-06-22","03-07-23","Spain",41,"Male","Smartphone"
"Basic",10,"21-06-22","02-07-23","Spain",51,"Male","Smart TV"
"Standard",13,"22-06-22","03-07-23","United States",47,"Female","Smart TV"
"Premium",15,"23-06-22","02-07-23","Canada",39,"Male","Smart TV"
"Basic",15,"27-06-22","03-07-23","United States",51,"Male","Smartphone"
"Premium",13,"02-07-22","02-07-23","United States",39,"Female","Tablet"
"Basic",12,"03-07-22","02-07-23","Canada",45,"Male","Tablet"
"Standard",13,"05-07-22","02-07-23","United Kingdom",42,"Male","Laptop"
"Standard",13,"15-07-22","02-07-23","Australia",48,"Male","Smartphone"
"Basic",11,"20-07-22","02-07-23","Germany",33,"Male","Smart TV"
"Premium",14,"27-07-22","02-07-23","France",47,"Female","Smartphone"
"Basic",11,"29-07-22","04-07-23","Brazil",51,"Female","Smart TV"
"Standard",11,"03-08-22","01-07-23","Mexico",27,"Male","Smartphone"
"Premium",11,"18-08-22","04-07-23","Spain",44,"Female","Laptop"
"Basic",12,"23-08-22","02-07-23","Italy",41,"Male","Laptop"
"Premium",11,"27-08-22","05-07-23","Spain",37,"Male","Smart TV"
"Basic",15,"01-09-22","02-07-23","Spain",48,"Male","Tablet"
"Standard",12,"03-09-22","04-07-23","United States",30,"Male","Smart TV"
"Standard",14,"05-09-22","02-07-23","Canada",44,"Female","Smartphone"
"Basic",14,"09-09-22","04-07-23","United States",34,"Female","Smart TV"
"Premium",15,"11-09-22","01-07-23","United States",40,"Female","Laptop"
"Basic",14,"17-09-22","04-07-23","Canada",28,"Female","Smartphone"
"Standard",15,"19-09-22","02-07-23","United Kingdom",44,"Female","Tablet"
"Premium",13,"28-09-22","03-07-23","Australia",38,"Female","Laptop"
"Basic",14,"06-10-22","02-07-23","Germany",49,"Male","Smart TV"
"Premium",13,"07-10-22","05-07-23","France",32,"Female","Smart TV"
"Basic",14,"09-10-22","01-07-23","Brazil",47,"Female","Smart TV"
"Standard",10,"10-10-22","03-07-23","Mexico",44,"Male","Tablet"
"Standard",12,"11-10-22","03-07-23","Spain",33,"Male","Smartphone"
"Basic",15,"12-10-22","04-07-23","Italy",32,"Male","Laptop"
"Premium",12,"13-10-22","01-07-23","Spain",27,"Female","Smartphone"
"Basic",11,"14-10-22","03-07-23","Spain",37,"Male","Laptop"
"Standard",14,"16-10-22","03-07-23","United States",34,"Male","Tablet"
"Premium",15,"19-10-22","04-07-23","Canada",40,"Male","Smart TV"
"Basic",12,"23-10-22","02-07-23","United States",45,"Female","Smart TV"
"Basic",13,"24-10-22","03-07-23","United States",29,"Female","Tablet"
"Basic",14,"25-10-22","03-07-23","Canada",35,"Male","Smart TV"
"Standard",10,"01-11-22","04-07-23","United Kingdom",38,"Female","Laptop"
"Premium",11,"02-11-22","04-07-23","Australia",48,"Female","Smart TV"
"Basic",12,"04-11-22","06-07-23","Germany",36,"Male","Smartphone"
"Basic",10,"06-11-22","03-07-23","France",41,"Male","Smart TV"
"Premium",15,"06-11-22","03-07-23","Brazil",27,"Male","Smart TV"
"Standard",12,"04-11-22","04-07-23","Mexico",41,"Male","Smart TV"
"Standard",13,"30-10-22","05-07-23","Spain",42,"Male","Laptop"
"Basic",12,"27-10-22","03-07-23","Italy",40,"Female","Laptop"
"Premium",13,"23-10-22","04-07-23","Spain",32,"Male","Smart TV"
"Standard",12,"23-10-22","04-07-23","Spain",33,"Male","Smart TV"
"Basic",11,"24-09-22","04-07-23","United States",34,"Male","Smartphone"
"Standard",11,"22-09-22","02-07-23","Canada",29,"Male","Tablet"
"Premium",14,"06-09-22","03-07-23","United States",50,"Male","Smart TV"
"Basic",10,"23-08-22","04-07-23","United States",29,"Female","Laptop"
"Premium",13,"21-08-22","04-07-23","Canada",40,"Female","Tablet"
"Standard",10,"16-08-22","02-07-23","United Kingdom",27,"Male","Smart TV"
"Basic",10,"09-08-22","03-07-23","Australia",51,"Female","Smartphone"
"Standard",13,"04-08-22","03-07-23","Germany",41,"Female","Laptop"
"Premium",15,"28-07-22","04-07-23","France",28,"Female","Tablet"
"Basic",12,"12-07-22","01-07-23","Brazil",42,"Male","Laptop"
"Standard",13,"11-07-22","03-07-23","Mexico",40,"Male","Laptop"
"Premium",12,"06-07-22","04-07-23","Spain",48,"Female","Smartphone"
"Basic",13,"01-07-22","03-07-23","Italy",28,"Male","Smart TV"
"Premium",15,"02-07-22","01-07-23","Spain",40,"Male","Smart TV"
"Basic",15,"30-06-22","03-07-23","Spain",33,"Female","Tablet"
"Standard",12,"30-06-22","03-07-23","United States",33,"Male","Smartphone"
"Standard",15,"30-06-22","03-07-23","Canada",47,"Female","Smartphone"
"Basic",13,"30-06-22","01-07-23","United States",50,"Female","Smart TV"
"Premium",15,"29-06-22","03-07-23","United States",38,"Male","Smartphone"
"Basic",15,"27-06-22","04-07-23","Canada",36,"Female","Tablet"
"Standard",15,"26-06-22","03-07-23","United Kingdom",38,"Female","Tablet"
"Premium",12,"24-06-22","01-07-23","Australia",49,"Male","Smartphone"
"Basic",12,"25-06-22","03-07-23","Germany",40,"Female","Smart TV"
"Premium",13,"24-06-22","03-07-23","France",51,"Male","Tablet"
"Basic",11,"22-06-22","03-07-23","Brazil",42,"Female","Smartphone"
"Standard",13,"23-06-22","03-07-23","Mexico",41,"Female","Smartphone"
"Standard",12,"25-06-22","03-07-23","Spain",48,"Female","Smartphone"
"Basic",13,"29-06-22","03-07-23","Italy",39,"Female","Tablet"
"Premium",15,"01-07-22","02-07-23","Spain",35,"Female","Tablet"
"Basic",11,"05-07-22","02-07-23","Spain",32,"Female","Tablet"
"Standard",12,"12-07-22","04-07-23","United States",28,"Female","Smartphone"
"Premium",11,"16-07-22","02-07-23","Canada",27,"Male","Laptop"
"Basic",11,"20-07-22","04-07-23","United States",30,"Female","Laptop"
"Premium",14,"28-07-22","02-07-23","United States",47,"Female","Laptop"
"Basic",14,"31-07-22","05-07-23","Canada",49,"Female","Tablet"
"Standard",14,"14-08-22","02-07-23","United Kingdom",43,"Female","Smartphone"
"Standard",12,"16-08-22","04-07-23","Australia",42,"Male","Tablet"
"Basic",14,"18-08-22","03-07-23","Germany",29,"Female","Smartphone"
"Premium",15,"27-08-22","05-07-23","France",35,"Female","Smartphone"
"Basic",13,"01-09-22","02-07-23","Brazil",41,"Female","Smartphone"
"Standard",13,"03-09-22","05-07-23","Mexico",47,"Female","Smart TV"
"Premium",14,"07-09-22","03-07-23","Spain",28,"Female","Smart TV"
"Basic",10,"08-09-22","04-07-23","Italy",44,"Female","Smartphone"
"Premium",10,"14-09-22","03-07-23","Spain",28,"Female","Tablet"
"Basic",11,"15-09-22","05-07-23","Spain",51,"Male","Laptop"
"Standard",11,"27-09-22","02-07-23","United States",48,"Male","Laptop"
"Standard",14,"30-09-22","04-07-23","Canada",49,"Female","Tablet"
"Basic",10,"02-10-22","04-07-23","United States",50,"Male","Smart TV"
"Premium",13,"03-10-22","05-07-23","United States",43,"Male","Laptop"
"Basic",14,"05-10-22","01-07-23","Canada",32,"Male","Smart TV"
"Standard",15,"10-10-22","03-07-23","United Kingdom",42,"Female","Tablet"
"Premium",13,"11-10-22","03-07-23","Australia",41,"Female","Laptop"
"Basic",11,"13-10-22","04-07-23","Germany",31,"Male","Laptop"
"Premium",11,"14-10-22","02-07-23","France",37,"Female","Smart TV"
"Basic",12,"16-10-22","03-07-23","Brazil",46,"Male","Smart TV"
"Standard",14,"18-10-22","03-07-23","Mexico",30,"Female","Tablet"
"Standard",11,"22-10-22","05-07-23","Spain",30,"Female","Smart TV"
"Basic",10,"24-10-22","03-07-23","Italy",34,"Female","Tablet"
"Premium",15,"25-10-22","04-07-23","Spain",47,"Female","Laptop"
"Basic",14,"29-10-22","03-07-23","Spain",41,"Male","Tablet"
"Standard",13,"02-11-22","04-07-23","United States",42,"Female","Laptop"
"Premium",12,"03-11-22","05-07-23","Canada",48,"Female","Smartphone"
"Basic",11,"04-11-22","06-07-23","United States",30,"Female","Smart TV"
"Basic",13,"05-11-22","03-07-23","United States",51,"Male","Smartphone"
"Basic",13,"05-11-22","04-07-23","Canada",27,"Male","Smartphone"
"Standard",13,"31-10-22","04-07-23","United Kingdom",38,"Male","Tablet"
"Premium",12,"27-10-22","05-07-23","Australia",29,"Female","Smart TV"
"Basic",11,"25-10-22","03-07-23","Germany",40,"Female","Smartphone"
"Basic",12,"26-10-22","04-07-23","France",31,"Female","Laptop"
"Premium",11,"30-09-22","04-07-23","Brazil",30,"Male","Smartphone"
"Standard",13,"27-09-22","05-07-23","Mexico",44,"Male","Laptop"
"Standard",14,"12-09-22","03-07-23","Spain",34,"Female","Tablet"
"Basic",14,"25-08-22","04-07-23","Italy",28,"Female","Laptop"
"Premium",13,"25-08-22","04-07-23","Spain",41,"Female","Laptop"
"Standard",12,"22-08-22","05-07-23","Spain",43,"Male","Tablet"
"Basic",10,"17-08-22","02-07-23","United States",33,"Male","Laptop"
"Standard",12,"09-08-22","03-07-23","Canada",32,"Female","Tablet"
"Premium",10,"06-08-22","04-07-23","United States",39,"Male","Smart TV"
"Basic",15,"17-07-22","04-07-23","United States",37,"Male","Laptop"
"Premium",11,"12-07-22","02-07-23","Canada",46,"Male","Tablet"
"Standard",11,"12-07-22","03-07-23","United Kingdom",39,"Male","Smartphone"
"Basic",12,"02-07-22","04-07-23","Australia",46,"Female","Tablet"
"Standard",13,"02-07-22","03-07-23","Germany",43,"Male","Laptop"
"Premium",10,"30-06-22","02-07-23","France",32,"Female","Laptop"
"Basic",12,"30-06-22","04-07-23","Brazil",30,"Female","Smart TV"
"Standard",11,"01-07-22","04-07-23","Mexico",40,"Female","Tablet"
"Premium",11,"30-06-22","04-07-23","Spain",51,"Female","Smartphone"
"Basic",10,"29-06-22","02-07-23","Italy",40,"Female","Smartphone"
"Premium",12,"30-06-22","03-07-23","Spain",28,"Male","Smart TV"
"Basic",14,"29-06-22","04-07-23","Spain",51,"Female","Smartphone"
"Standard",14,"26-06-22","03-07-23","United States",27,"Male","Laptop"
"Standard",14,"27-06-22","01-07-23","Canada",35,"Male","Smart TV"
"Basic",11,"24-06-22","03-07-23","United States",37,"Male","Laptop"
"Premium",14,"23-06-22","04-07-23","United States",51,"Male","Smart TV"
"Basic",11,"23-06-22","03-07-23","Canada",40,"Male","Smart TV"
"Standard",14,"25-06-22","03-07-23","United Kingdom",38,"Male","Laptop"
"Premium",11,"28-06-22","03-07-23","Australia",48,"Female","Laptop"
"Basic",11,"01-07-22","03-07-23","Germany",49,"Male","Smartphone"
"Premium",15,"02-07-22","05-07-23","France",33,"Female","Laptop"
"Basic",10,"06-07-22","03-07-23","Brazil",34,"Female","Tablet"
"Standard",15,"12-07-22","06-07-23","Mexico",39,"Male","Tablet"
"Standard",13,"17-07-22","02-07-23","Spain",37,"Female","Tablet"
"Basic",15,"23-07-22","05-07-23","Italy",44,"Male","Laptop"
"Premium",15,"29-07-22","04-07-23","Spain",35,"Male","Tablet"
"Basic",11,"06-08-22","06-07-23","Spain",31,"Female","Laptop"
"Standard",10,"09-08-22","02-07-23","United States",39,"Male","Smart TV"
"Premium",13,"14-08-22","05-07-23","Canada",38,"Male","Tablet"
"Basic",11,"20-08-22","03-07-23","United States",42,"Male","Smartphone"
"Premium",12,"28-08-22","05-07-23","United States",48,"Female","Tablet"
"Basic",11,"02-09-22","03-07-23","Canada",31,"Male","Tablet"
"Standard",11,"04-09-22","05-07-23","United Kingdom",42,"Male","Smartphone"
"Standard",14,"06-09-22","03-07-23","Australia",35,"Male","Smartphone"
"Basic",10,"14-09-22","05-07-23","Germany",39,"Male","Laptop"
"Premium",13,"15-09-22","04-07-23","France",50,"Female","Tablet"
"Basic",11,"16-09-22","06-07-23","Brazil",40,"Male","Smartphone"
"Standard",10,"28-09-22","02-07-23","Mexico",29,"Male","Smartphone"
"Premium",10,"02-10-22","04-07-23","Spain",48,"Female","Smart TV"
"Basic",15,"03-10-22","04-07-23","Italy",34,"Male","Smartphone"
"Premium",10,"05-10-22","05-07-23","Spain",48,"Male","Smartphone"
"Basic",12,"07-10-22","02-07-23","Spain",48,"Male","Laptop"
"Standard",12,"09-10-22","04-07-23","United States",35,"Female","Tablet"
"Standard",11,"11-10-22","04-07-23","Canada",29,"Male","Laptop"
"Basic",14,"13-10-22","05-07-23","United States",47,"Female","Smart TV"
"Premium",12,"15-10-22","02-07-23","United States",36,"Male","Smartphone"
"Basic",12,"17-10-22","04-07-23","Canada",40,"Female","Smartphone"
"Standard",14,"21-10-22","04-07-23","United Kingdom",51,"Male","Tablet"
"Premium",12,"23-10-22","05-07-23","Australia",37,"Male","Smart TV"
"Basic",12,"24-10-22","06-07-23","Germany",36,"Male","Tablet"
"Premium",12,"28-10-22","04-07-23","France",45,"Male","Tablet"
"Basic",11,"31-10-22","04-07-23","Brazil",31,"Female","Tablet"
"Standard",14,"03-11-22","04-07-23","Mexico",45,"Female","Laptop"
"Standard",11,"04-11-22","05-07-23","Spain",30,"Male","Laptop"
"Basic",14,"05-11-22","06-07-23","Italy",40,"Female","Smartphone"
"Premium",14,"06-11-22","04-07-23","Spain",44,"Female","Smart TV"
"Basic",12,"01-11-22","05-07-23","Spain",36,"Female","Laptop"
"Standard",10,"01-11-22","05-07-23","United States",36,"Male","Tablet"
"Premium",11,"29-10-22","05-07-23","Canada",32,"Female","Smartphone"
"Basic",10,"27-10-22","03-07-23","United States",46,"Male","Smart TV"
"Basic",12,"16-10-22","04-07-23","United States",39,"Female","Smart TV"
"Basic",13,"14-10-22","04-07-23","Canada",30,"Male","Smart TV"
"Standard",13,"14-09-22","05-07-23","United Kingdom",34,"Male","Laptop"
"Premium",14,"03-09-22","03-07-23","Australia",28,"Male","Laptop"
"Basic",13,"27-08-22","04-07-23","Germany",39,"Female","Smartphone"
"Basic",12,"27-08-22","05-07-23","France",34,"Female","Laptop"
"Premium",13,"21-08-22","05-07-23","Brazil",42,"Male","Laptop"
"Standard",13,"13-08-22","02-07-23","Mexico",29,"Female","Tablet"
"Standard",13,"12-08-22","04-07-23","Spain",29,"Male","Tablet"
"Basic",12,"24-07-22","04-07-23","Italy",30,"Male","Tablet"
"Premium",11,"24-07-22","04-07-23","Spain",51,"Male","Smartphone"
"Standard",11,"12-07-22","02-07-23","Spain",51,"Male","Smart TV"
"Basic",13,"09-07-22","04-07-23","United States",44,"Male","Tablet"
"Standard",13,"09-07-22","05-07-23","Canada",35,"Male","Laptop"
"Premium",10,"10-07-22","04-07-23","United States",39,"Male","Smart TV"
"Basic",12,"02-07-22","02-07-23","United States",41,"Female","Laptop"
"Premium",13,"02-07-22","04-07-23","Canada",44,"Female","Laptop"
"Standard",11,"01-07-22","05-07-23","United Kingdom",29,"Male","Laptop"
"Basic",14,"01-07-22","04-07-23","Australia",47,"Male","Tablet"
"Standard",10,"30-06-22","02-07-23","Germany",28,"Female","Smartphone"
"Premium",15,"29-06-22","04-07-23","France",45,"Male","Laptop"
"Basic",11,"26-06-22","04-07-23","Brazil",28,"Female","Smartphone"
"Standard",14,"27-06-22","03-07-23","Mexico",31,"Female","Laptop"
"Premium",13,"25-06-22","03-07-23","Spain",47,"Female","Laptop"
"Basic",13,"23-06-22","04-07-23","Italy",42,"Female","Tablet"
"Premium",14,"24-06-22","04-07-23","Spain",34,"Female","Laptop"
"Basic",12,"25-06-22","05-07-23","Spain",40,"Female","Laptop"
"Standard",13,"26-06-22","04-07-23","United States",42,"Female","Laptop"
"Standard",14,"27-06-22","07-07-23","Canada",33,"Male","Smart TV"
"Basic",12,"30-06-22","03-07-23","United States",30,"Male","Laptop"
"Premium",14,"03-07-22","05-07-23","United States",29,"Male","Tablet"
"Basic",13,"09-07-22","04-07-23","Canada",31,"Male","Smart TV"
"Standard",14,"17-07-22","06-07-23","United Kingdom",46,"Female","Smart TV"
"Premium",11,"22-07-22","03-07-23","Australia",46,"Female","Smartphone"
"Basic",11,"28-07-22","05-07-23","Germany",47,"Male","Laptop"
"Premium",12,"04-08-22","04-07-23","France",48,"Female","Smart TV"
"Basic",13,"08-08-22","06-07-23","Brazil",32,"Female","Smart TV"
"Standard",13,"13-08-22","04-07-23","Mexico",51,"Female","Tablet"
"Standard",13,"17-08-22","05-07-23","Spain",33,"Male","Smart TV"
"Basic",15,"20-08-22","04-07-23","Italy",43,"Male","Smartphone"
"Premium",14,"28-08-22","06-07-23","Spain",43,"Female","Smart TV"
"Basic",13,"29-08-22","04-07-23","Spain",42,"Male","Smart TV"
"Standard",15,"03-09-22","05-07-23","United States",30,"Male","Smartphone"
"Premium",13,"10-09-22","03-07-23","Canada",50,"Male","Smartphone"
"Basic",11,"13-09-22","05-07-23","United States",51,"Female","Laptop"
"Premium",14,"15-09-22","04-07-23","United States",36,"Female","Tablet"
"Basic",13,"25-09-22","06-07-23","Canada",41,"Female","Tablet"
"Standard",10,"01-10-22","03-07-23","United Kingdom",37,"Male","Smart TV"
"Standard",11,"02-10-22","04-07-23","Australia",30,"Female","Tablet"
"Basic",11,"05-10-22","04-07-23","Germany",50,"Female","Tablet"
"Premium",14,"06-10-22","05-07-23","France",41,"Female","Smart TV"
"Basic",14,"07-10-22","03-07-23","Brazil",29,"Female","Laptop"
"Standard",12,"10-10-22","04-07-23","Mexico",43,"Male","Smart TV"
"Premium",12,"12-10-22","04-07-23","Spain",31,"Female","Smart TV"
"Basic",14,"15-10-22","06-07-23","Italy",40,"Male","Laptop"
"Premium",12,"17-10-22","05-07-23","Spain",35,"Female","Smart TV"
"Basic",13,"21-10-22","04-07-23","Spain",39,"Female","Laptop"
"Standard",14,"23-10-22","05-07-23","United States",48,"Male","Laptop"
"Standard",14,"24-10-22","05-07-23","Canada",42,"Female","Tablet"
"Basic",11,"27-10-22","06-07-23","United States",48,"Female","Smart TV"
"Premium",10,"30-10-22","07-07-23","United States",33,"Female","Smart TV"
"Basic",14,"31-10-22","04-07-23","Canada",45,"Female","Smart TV"
"Standard",14,"03-11-22","04-07-23","United Kingdom",40,"Female","Smart TV"
"Premium",15,"05-11-22","06-07-23","Australia",38,"Male","Tablet"
"Basic",14,"06-11-22","06-07-23","Germany",31,"Female","Tablet"
"Premium",14,"01-11-22","04-07-23","France",33,"Female","Smart TV"
"Basic",15,"02-11-22","05-07-23","Brazil",27,"Male","Laptop"
"Standard",13,"02-11-22","05-07-23","Mexico",47,"Male","Smartphone"
"Standard",15,"01-11-22","06-07-23","Spain",41,"Male","Tablet"
"Basic",11,"17-10-22","03-07-23","Italy",32,"Female","Smart TV"
"Premium",11,"18-10-22","05-07-23","Spain",31,"Male","Smart TV"
"Basic",13,"28-09-22","05-07-23","Spain",43,"Female","Tablet"
"Standard",15,"23-09-22","05-07-23","United States",42,"Female","Smart TV"
"Premium",15,"22-09-22","03-07-23","Canada",46,"Male","Smartphone"
"Basic",12,"31-08-22","04-07-23","United States",27,"Female","Smartphone"
"Basic",15,"28-08-22","05-07-23","United States",48,"Female","Smart TV"
"Basic",15,"27-08-22","05-07-23","Canada",49,"Male","Laptop"
"Standard",12,"17-08-22","03-07-23","United Kingdom",43,"Male","Smart TV"
"Premium",14,"09-08-22","04-07-23","Australia",38,"Male","Laptop"
"Basic",13,"24-07-22","05-07-23","Germany",37,"Male","Smartphone"
"Basic",12,"16-07-22","04-07-23","France",39,"Female","Smart TV"
"Premium",10,"15-07-22","03-07-23","Brazil",40,"Male","Tablet"
"Standard",12,"12-07-22","05-07-23","Mexico",40,"Male","Smart TV"
"Standard",12,"12-07-22","06-07-23","Spain",48,"Male","Laptop"
"Basic",13,"09-07-22","05-07-23","Italy",43,"Female","Smart TV"
"Premium",10,"05-07-22","02-07-23","Spain",46,"Male","Laptop"
"Standard",11,"05-07-22","05-07-23","Spain",43,"Male","Smartphone"
"Basic",10,"03-07-22","05-07-23","United States",30,"Female","Tablet"
"Standard",13,"01-07-22","04-07-23","Canada",51,"Female","Laptop"
"Premium",12,"30-06-22","03-07-23","United States",30,"Male","Smartphone"
"Basic",14,"27-06-22","04-07-23","United States",47,"Female","Smart TV"
"Premium",13,"28-06-22","04-07-23","Canada",41,"Male","Laptop"
"Standard",10,"28-06-22","05-07-23","United Kingdom",45,"Female","Smartphone"
"Basic",14,"24-06-22","04-07-23","Australia",47,"Female","Laptop"
"Standard",11,"24-06-22","05-07-23","Germany",48,"Female","Smart TV"
"Premium",11,"25-06-22","04-07-23","France",51,"Female","Tablet"
"Basic",10,"26-06-22","06-07-23","Brazil",29,"Male","Smart TV"
"Standard",13,"27-06-22","05-07-23","Mexico",43,"Female","Laptop"
"Premium",13,"29-06-22","07-07-23","Spain",49,"Female","Tablet"
"Basic",11,"02-07-22","03-07-23","Italy",37,"Male","Smartphone"
"Premium",13,"07-07-22","05-07-23","Spain",48,"Male","Tablet"
"Basic",11,"13-07-22","05-07-23","Spain",36,"Female","Tablet"
"Standard",14,"18-07-22","07-07-23","United States",33,"Female","Laptop"
"Standard",14,"24-07-22","04-07-23","Canada",38,"Female","Laptop"
"Basic",12,"31-07-22","06-07-23","United States",42,"Female","Smartphone"
"Premium",15,"01-08-22","05-07-23","United States",30,"Female","Tablet"
"Basic",10,"08-08-22","06-07-23","Canada",39,"Male","Smart TV"
"Standard",14,"13-08-22","04-07-23","United Kingdom",36,"Male","Smartphone"
"Premium",11,"14-08-22","06-07-23","Australia",27,"Female","Smartphone"
"Basic",11,"23-08-22","04-07-23","Germany",49,"Male","Smart TV"
"Premium",14,"27-08-22","06-07-23","France",31,"Male","Laptop"
"Basic",10,"31-08-22","05-07-23","Brazil",36,"Male","Laptop"
"Standard",14,"09-09-22","06-07-23","Mexico",41,"Female","Tablet"
"Standard",10,"10-09-22","04-07-23","Spain",45,"Female","Laptop"
"Basic",14,"12-09-22","05-07-23","Italy",45,"Male","Smart TV"
"Premium",11,"17-09-22","05-07-23","Spain",32,"Male","Smart TV"
"Basic",13,"21-09-22","06-07-23","Spain",41,"Female","Smartphone"
"Standard",11,"02-10-22","03-07-23","United States",37,"Male","Smart TV"
"Premium",10,"04-10-22","05-07-23","Canada",27,"Male","Laptop"
"Basic",14,"06-10-22","04-07-23","United States",41,"Male","Laptop"
"Premium",13,"07-10-22","06-07-23","United States",30,"Female","Smart TV"
"Basic",12,"08-10-22","04-07-23","Canada",43,"Male","Smartphone"
"Standard",12,"11-10-22","05-07-23","United Kingdom",51,"Male","Laptop"
"Standard",12,"13-10-22","04-07-23","Australia",46,"Female","Smart TV"
"Basic",10,"15-10-22","06-07-23","Germany",27,"Female","Tablet"
"Premium",10,"19-10-22","06-07-23","France",51,"Female","Smartphone"
"Basic",14,"21-10-22","06-07-23","Brazil",28,"Female","Laptop"
"Standard",14,"23-10-22","05-07-23","Mexico",33,"Male","Smartphone"
"Premium",12,"26-10-22","05-07-23","Spain",31,"Female","Laptop"
"Basic",13,"27-10-22","06-07-23","Italy",47,"Male","Laptop"
"Premium",10,"31-10-22","07-07-23","Spain",45,"Female","Tablet"
"Basic",13,"03-11-22","05-07-23","Spain",42,"Male","Smart TV"
"Standard",15,"05-11-22","06-07-23","United States",47,"Female","Smart TV"
"Standard",12,"06-11-22","06-07-23","Canada",29,"Female","Smart TV"
"Basic",13,"03-11-22","07-07-23","United States",49,"Female","Laptop"
"Premium",14,"03-11-22","04-07-23","United States",41,"Female","Laptop"
"Basic",13,"04-11-22","05-07-23","Canada",45,"Male","Smartphone"
"Standard",14,"02-11-22","06-07-23","United Kingdom",49,"Male","Smart TV"
"Premium",13,"27-10-22","06-07-23","Australia",41,"Male","Smart TV"
"Basic",15,"27-10-22","04-07-23","Germany",37,"Male","Laptop"
"Premium",14,"15-10-22","05-07-23","France",31,"Male","Smartphone"
"Basic",13,"03-10-22","05-07-23","Brazil",29,"Male","Smartphone"
"Standard",10,"25-09-22","05-07-23","Mexico",51,"Female","Smart TV"
"Standard",12,"16-09-22","03-07-23","Spain",33,"Male","Smart TV"
"Basic",12,"14-09-22","04-07-23","Italy",31,"Male","Smartphone"
"Premium",11,"11-09-22","05-07-23","Spain",42,"Female","Laptop"
"Basic",15,"09-09-22","05-07-23","Spain",48,"Female","Laptop"
"Standard",13,"12-08-22","03-07-23","United States",37,"Female","Laptop"
"Premium",13,"04-08-22","06-07-23","Canada",51,"Female","Smartphone"
"Basic",12,"04-08-22","06-07-23","United States",29,"Female","Tablet"
"Basic",13,"31-07-22","05-07-23","United States",46,"Male","Tablet"
"Basic",15,"29-07-22","03-07-23","Canada",35,"Male","Smart TV"
"Standard",15,"14-07-22","05-07-23","United Kingdom",44,"Female","Smartphone"
"Premium",12,"13-07-22","06-07-23","Australia",36,"Male","Smart TV"
"Basic",14,"11-07-22","05-07-23","Germany",38,"Female","Tablet"
"Basic",12,"12-07-22","03-07-23","France",36,"Male","Smart TV"
"Premium",14,"11-07-22","05-07-23","Brazil",40,"Female","Laptop"
"Standard",10,"02-07-22","05-07-23","Mexico",29,"Male","Laptop"
"Standard",11,"30-06-22","06-07-23","Spain",32,"Male","Smart TV"
"Basic",12,"30-06-22","05-07-23","Italy",30,"Male","Laptop"
"Premium",10,"29-06-22","05-07-23","Spain",47,"Male","Smartphone"
"Standard",15,"30-06-22","04-07-23","Spain",28,"Female","Tablet"
"Basic",11,"24-06-22","05-07-23","United States",49,"Male","Laptop"
"Standard",12,"25-06-22","04-07-23","Canada",50,"Male","Smartphone"
"Premium",11,"25-06-22","07-07-23","United States",33,"Male","Smart TV"
"Basic",13,"26-06-22","04-07-23","United States",50,"Male","Smart TV"
"Premium",10,"27-06-22","06-07-23","Canada",28,"Female","Smart TV"
"Standard",12,"29-06-22","06-07-23","United Kingdom",41,"Male","Smartphone"
"Basic",12,"01-07-22","07-07-23","Australia",30,"Female","Smartphone"
"Standard",10,"03-07-22","04-07-23","Germany",32,"Male","Smart TV"
"Premium",15,"12-07-22","07-07-23","France",50,"Male","Laptop"
"Basic",11,"15-07-22","05-07-23","Brazil",28,"Female","Smart TV"
"Standard",13,"19-07-22","07-07-23","Mexico",45,"Male","Smart TV"
"Premium",14,"27-07-22","05-07-23","Spain",31,"Male","Tablet"
"Basic",11,"29-07-22","06-07-23","Italy",27,"Female","Smartphone"
"Premium",11,"06-08-22","05-07-23","Spain",49,"Male","Tablet"
"Basic",10,"13-08-22","06-07-23","Spain",32,"Female","Laptop"
"Standard",13,"14-08-22","05-07-23","United States",38,"Male","Smart TV"
